Title,Max (MGas/s),p50 (MGas/s),p95 (MGas/s),p99 (MGas/s),Min (MGas/s),N,Description,Start Time
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE same value],1873.66,1873.66,1873.66,1873.66,1873.66,1,Description not found on metadata file,2025-10-22 09:17:27.040436+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_EXTCODEHASH],4017.26,4017.26,4017.26,4017.26,4017.26,1,Description not found on metadata file,2025-10-22 09:17:20.763298+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-state_test-value_bearing_False],319.38,319.38,319.38,319.38,319.38,1,Description not found on metadata file,2025-10-22 09:18:01.128593+00
test_worst_stateful_opcodes.py__test_worst_address_state_cold[fork_Prague-benchmark-benchmark_test-absent_accounts_True-opcode_BALANCE],22.75,22.75,22.75,22.75,22.75,1,Description not found on metadata file,2025-10-22 09:17:02.823288+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_initcode[fork_Prague-benchmark-state_test-value_bearing_False],319.29,319.29,319.29,319.29,319.29,1,Description not found on metadata file,2025-10-22 09:18:03.825920+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_CALL],1302.96,1302.96,1302.96,1302.96,1302.96,1,Description not found on metadata file,2025-10-22 09:17:21.763268+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value, revert]",1266.07,1266.07,1266.07,1266.07,1266.07,1,Description not found on metadata file,2025-10-22 09:17:41.844131+00
test_worst_stateful_opcodes.py__test_worst_blockhash[fork_Prague-benchmark-benchmark_test],1698.30,1698.30,1698.30,1698.30,1698.30,1,Description not found on metadata file,2025-10-22 09:17:46.549881+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_BALANCE],2867.24,2867.24,2867.24,2867.24,2867.24,1,Description not found on metadata file,2025-10-22 09:17:12.089088+00
test_worst_stateful_opcodes.py__test_worst_address_state_cold[fork_Prague-benchmark-benchmark_test-absent_accounts_False-opcode_BALANCE],736.24,736.24,736.24,736.24,736.24,1,Description not found on metadata file,2025-10-22 09:17:11.152832+00
