Title,Max (MGas/s),p50 (MGas/s),p95 (MGas/s),p99 (MGas/s),Min (MGas/s),N,Description,Start Time
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE same value],6951.65,6951.65,6951.65,6951.65,6951.65,1,Description not found on metadata file,2025-10-22 09:12:34.056747+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_EXTCODEHASH],5825.51,5825.51,5825.51,5825.51,5825.51,1,Description not found on metadata file,2025-10-22 09:12:28.194977+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-state_test-value_bearing_False],99.15,99.15,99.15,99.15,99.15,1,Description not found on metadata file,2025-10-22 09:13:16.802895+00
test_worst_stateful_opcodes.py__test_worst_address_state_cold[fork_Prague-benchmark-benchmark_test-absent_accounts_True-opcode_BALANCE],5.36,5.36,5.36,5.36,5.36,1,Description not found on metadata file,2025-10-22 09:11:54.129395+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_initcode[fork_Prague-benchmark-state_test-value_bearing_False],105.23,105.23,105.23,105.23,105.23,1,Description not found on metadata file,2025-10-22 09:13:21.366470+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_CALL],1879.20,1879.20,1879.20,1879.20,1879.20,1,Description not found on metadata file,2025-10-22 09:12:29.178490+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value, revert]",3569.52,3569.52,3569.52,3569.52,3569.52,1,Description not found on metadata file,2025-10-22 09:12:45.241402+00
test_worst_stateful_opcodes.py__test_worst_blockhash[fork_Prague-benchmark-benchmark_test],636.58,636.58,636.58,636.58,636.58,1,Description not found on metadata file,2025-10-22 09:12:49.358925+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_BALANCE],5204.86,5204.86,5204.86,5204.86,5204.86,1,Description not found on metadata file,2025-10-22 09:12:19.545113+00
test_worst_stateful_opcodes.py__test_worst_address_state_cold[fork_Prague-benchmark-benchmark_test-absent_accounts_False-opcode_BALANCE],1755.72,1755.72,1755.72,1755.72,1755.72,1,Description not found on metadata file,2025-10-22 09:12:18.603783+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value, out of gas]",9584.76,9584.76,9584.76,9584.76,9584.76,1,Description not found on metadata file,2025-10-22 09:12:38.733894+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_DELEGATECALL],2204.56,2204.56,2204.56,2204.56,2204.56,1,Description not found on metadata file,2025-10-22 09:12:24.340340+00
test_worst_stateful_opcodes.py__test_worst_extcodecopy_warm[fork_Prague-benchmark-benchmark_test-512],1145.89,1145.89,1145.89,1145.89,1145.89,1,Description not found on metadata file,2025-10-22 09:12:52.361237+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_EXTCODESIZE],4742.57,4742.57,4742.57,4742.57,4742.57,1,Description not found on metadata file,2025-10-22 09:12:27.252388+00
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSLOAD],1806.14,1806.14,1806.14,1806.14,1806.14,1,Description not found on metadata file,2025-10-22 09:12:39.852280+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE same value, out of gas]",1723.66,1723.66,1723.66,1723.66,1723.66,1,Description not found on metadata file,2025-10-22 09:12:43.200218+00
