Title,Max (MGas/s),p50 (MGas/s),p95 (MGas/s),p99 (MGas/s),Min (MGas/s),N,Description,Start Time
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE same value],1230.61,1230.61,1230.61,1230.61,1230.61,1,Description not found on metadata file,2025-10-22 10:28:45.151505+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_EXTCODEHASH],1696.38,1696.38,1696.38,1696.38,1696.38,1,Description not found on metadata file,2025-10-22 10:28:38.041725+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-state_test-value_bearing_False],76.94,76.94,76.94,76.94,76.94,1,Description not found on metadata file,2025-10-22 10:30:16.523468+00
test_worst_stateful_opcodes.py__test_worst_address_state_cold[fork_Prague-benchmark-benchmark_test-absent_accounts_True-opcode_BALANCE],28.73,28.73,28.73,28.73,28.73,1,Description not found on metadata file,2025-10-22 10:28:12.375481+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_initcode[fork_Prague-benchmark-state_test-value_bearing_False],137.16,137.16,137.16,137.16,137.16,1,Description not found on metadata file,2025-10-22 10:30:20.599205+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_CALL],669.23,669.23,669.23,669.23,669.23,1,Description not found on metadata file,2025-10-22 10:28:39.195656+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value, revert]",351.75,351.75,351.75,351.75,351.75,1,Description not found on metadata file,2025-10-22 10:29:08.573227+00
test_worst_stateful_opcodes.py__test_worst_blockhash[fork_Prague-benchmark-benchmark_test],477.44,477.44,477.44,477.44,477.44,1,Description not found on metadata file,2025-10-22 10:29:14.633179+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_BALANCE],1836.24,1836.24,1836.24,1836.24,1836.24,1,Description not found on metadata file,2025-10-22 10:28:28.204399+00
test_worst_stateful_opcodes.py__test_worst_address_state_cold[fork_Prague-benchmark-benchmark_test-absent_accounts_False-opcode_BALANCE],75.86,75.86,75.86,75.86,75.86,1,Description not found on metadata file,2025-10-22 10:28:27.200638+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value, out of gas]",2640.10,2640.10,2640.10,2640.10,2640.10,1,Description not found on metadata file,2025-10-22 10:28:50.385498+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_DELEGATECALL],707.45,707.45,707.45,707.45,707.45,1,Description not found on metadata file,2025-10-22 10:28:33.808090+00
test_worst_stateful_opcodes.py__test_worst_extcodecopy_warm[fork_Prague-benchmark-benchmark_test-512],392.60,392.60,392.60,392.60,392.60,1,Description not found on metadata file,2025-10-22 10:29:18.033440+00
