"FullScenario","BaselineMs","OptimizedMs","DeltaMs","DeltaPct"
"tests_benchmark_compute_precompile_test_ecrecover.py__test_ecrecover[fork_Prague-benchmark-blockchain_test_engine_x-ecrecover]-gas-value_100M","1886.91","1561.82","-325.09","-17.23%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_256]-gas-value_100M","433.43","171.37","-262.06","-60.46%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_32]-gas-value_100M","385.46","153.45","-232.01","-60.19%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_0]-gas-value_100M","264.44","136.2","-128.24","-48.50%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_1024]-gas-value_100M","341.21","225.72","-115.49","-33.85%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity[fork_Prague-benchmark-blockchain_test_engine_x]-gas-value_100M","426.5","311.32","-115.18","-27.01%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_0-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","409.89","385.54","-24.35","-5.94%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_32-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","169.63","156.25","-13.38","-7.89%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_256-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","156.44","163.53","7.09","4.53%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_1024-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","166.93","595.96","429.03","257.01%"
